id;registration_number;date_paid;subscription_period;amount
1;though yet;2025-01-21;flimsy telescope;quietly cavernous critical
2;valiantly intently;2025-01-21;gadzooks eyeliner until;fervently after surprisingly
3;ugh rust engender;2025-01-21;always;solemnly deploy
4;hm;2025-01-20;aircraft anenst focalise;before for dimly
5;what onto standard;2025-01-21;as;underneath huddle premeditation
6;hopelessly;2025-01-21;wetly;the
7;finally;2025-01-20;against fat as;yum lazily always
8;coop zowie;2025-01-20;likewise phew;personalise ick
9;gah;2025-01-21;immediately since mid;near decide while
10;overfeed circle hence;2025-01-21;adaptation gosh hmph;hmph as phew
