id;qualification_name;name_of_institute;date_from;date_to;awarded_by;awarded_date
1;delirious along hence;hmph noxious;2025-01-21;2025-01-21;incidentally weight;2025-01-21
2;while;afore as;2025-01-21;2025-01-21;draft;2025-01-20
3;although boo;wherever after sweatshop;2025-01-21;2025-01-21;brr finally;2025-01-21
4;hence;outflank physically;2025-01-21;2025-01-21;shout;2025-01-21
5;stage abaft;except for wherever;2025-01-21;2025-01-21;foolishly alongside failing;2025-01-21
6;delectable fondly;pupil;2025-01-20;2025-01-21;lend submissive;2025-01-21
7;flint below;given swanling;2025-01-21;2025-01-20;generously super;2025-01-21
8;but;worth tenderly;2025-01-21;2025-01-21;like lasting option;2025-01-20
9;out insignificant;negotiation ouch supposing;2025-01-21;2025-01-21;solace;2025-01-21
10;till stable;aha fondly;2025-01-21;2025-01-21;alongside instead;2025-01-21
